City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Cloquet,US,46.7216,-92.4594,36.68,65,1,6.91,clear sky
336,Sitka,US,57.0531,-135.33,48.78,85,100,5.39,overcast clouds
337,Constantine,DZ,36.365,6.6147,63.81,77,40,17.27,scattered clouds
338,Gandai,IN,21.6667,81.1,92.98,32,82,3.89,broken clouds
339,Kikwit,CD,-5.041,18.8162,69.17,59,100,2.28,overcast clouds
340,Olafsvik,IS,64.8945,-23.7142,46.9,71,85,17.72,overcast clouds
341,Pangnirtung,CA,66.1451,-65.7125,25.99,96,80,1.79,broken clouds
342,Mehamn,NO,71.0357,27.8492,35.73,78,100,20.56,overcast clouds
343,Laguna,US,38.421,-121.4238,84.52,53,8,5.01,clear sky
344,Yumen,CN,40.2833,97.2,83.35,7,9,15.68,clear sky
345,Kilindoni,TZ,-7.9139,39.6668,78.48,68,78,15.66,light rain
346,Bhawanipatna,IN,19.9,83.1667,93.25,23,100,4.29,overcast clouds
347,Lagoa,PT,39.05,-27.9833,58.35,58,88,3.47,overcast clouds
348,Lakes Entrance,AU,-37.8811,147.981,55.18,56,99,15.7,overcast clouds
349,Mufulira,ZM,-12.5498,28.2407,45.97,74,0,4.07,clear sky
350,Sao Filipe,CV,14.8961,-24.4956,72.43,79,4,10.67,clear sky
351,Itagiba,BR,-14.2836,-39.8428,62.44,95,4,0.67,clear sky
352,Dedovichi,RU,57.5517,29.9502,47.68,97,16,3.36,few clouds
353,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,76,20,7.61,few clouds
354,Richards Bay,ZA,-28.783,32.0377,61.34,50,14,5.66,few clouds
355,Mazyr,BY,52.0495,29.2456,53.35,95,73,4.76,broken clouds
